title,award_class,award_category,name
The Elephant Whisperers,Title,DOCUMENTARY (Short Subject),Kartiki Gonsalves and Guneet Monga
The Empire Strikes Back,Production,SOUND,"Bill Varney, Steve Maslow, Gregg Landaker, Peter Sutton"
The Empire Strikes Back,Special,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Brian Johnson, Richard Edlund, Dennis Muren, Bruce Nicholson"
The End of the Game,Title,DOCUMENTARY (Short Subject),"Claire Wilbur and Robin Lehman, Producers"
The Enemy Below,Production,VISUAL EFFECTS,Audible Effects by Walter Rossi
The English Patient,Acting,ACTRESS IN A SUPPORTING ROLE,Juliette Binoche
The English Patient,Production,ART DIRECTION,Art Direction: Stuart Craig; Set Decoration: Stephenie McMillan
The English Patient,Production,CINEMATOGRAPHY,John Seale
The English Patient,Production,COSTUME DESIGN,Ann Roth
The English Patient,Directing,DIRECTING,Anthony Minghella
The English Patient,Production,FILM EDITING,Walter Murch
The English Patient,Music,MUSIC (Original Score),Gabriel Yared
The English Patient,Title,BEST PICTURE,"Saul Zaentz, Producer"
The English Patient,Production,SOUND,"Walter Murch, Mark Berger, David Parker, Chris Newman"
The Exorcist,Production,SOUND,"Robert Knudson, Chris Newman"
The Exorcist,Writing,WRITING (Adapted Screenplay),William Peter Blatty
The Eyes of Tammy Faye,Acting,ACTRESS IN A LEADING ROLE,Jessica Chastain
The Eyes of Tammy Faye,Production,MAKEUP AND HAIRSTYLING,"Linda Dowds, Stephanie Ingram and Justin Raleigh"
The Face of Lincoln,Title,SHORT SUBJECT (Two-reel),"Wilbur T. Blume, Producer"
The Facts of Life,Production,COSTUME DESIGN (Black-and-White),"Edith Head, Edward Stevenson"
The Fantastic Flying Books of Mr. Morris Lessmore,Title,SHORT FILM (Animated),William Joyce and Brandon Oldenburg
The Farmer's Daughter,Acting,ACTRESS,Loretta Young
The Father,Acting,ACTOR IN A LEADING ROLE,Anthony Hopkins
The Father,Writing,WRITING (Adapted Screenplay),Screenplay by Christopher Hampton and Florian Zeller
The Favourite,Acting,ACTRESS IN A LEADING ROLE,Olivia Colman
The Fighter,Acting,ACTOR IN A SUPPORTING ROLE,Christian Bale
The Fighter,Acting,ACTRESS IN A SUPPORTING ROLE,Melissa Leo
The Fighting Lady,Title,DOCUMENTARY (Feature),United States Navy
The Fisher King,Acting,ACTRESS IN A SUPPORTING ROLE,Mercedes Ruehl
The Flight of the Gossamer Condor,Title,DOCUMENTARY (Short Subject),"Jacqueline Phillips Shedd and Ben Shedd, Producers"
The Fly,Title,SHORT FILM (Animated),"Ferenc Rofusz, Producer"
The Fly,Production,MAKEUP AND HAIRSTYLING,"Chris Walas, Stephan Dupuis"
The Fog of War,Title,DOCUMENTARY (Feature),Errol Morris and Michael Williams
The Fortune Cookie,Acting,ACTOR IN A SUPPORTING ROLE,Walter Matthau
The French Connection,Acting,ACTOR,Gene Hackman
The French Connection,Directing,DIRECTING,William Friedkin
The French Connection,Production,FILM EDITING,Jerry Greenberg
The French Connection,Title,BEST PICTURE,"Philip D'Antoni, Producer"
The French Connection,Writing,WRITING (Adapted Screenplay),Ernest Tidyman
The Fugitive,Acting,ACTOR IN A SUPPORTING ROLE,Tommy Lee Jones
The Full Monty,Music,MUSIC (Original Song Score or Adaptation Score),Anne Dudley
The Garden of the Finzi Continis,Title,INTERNATIONAL FEATURE FILM,Italy
The Gay Divorcee,Music,MUSIC (Original Song),Music by Con Conrad; Lyrics by Herb Magidson
The Ghost and the Darkness,Production,SOUND EDITING,Bruce Stambler
The Girl with the Dragon Tattoo,Production,FILM EDITING,Kirk Baxter and Angus Wall
The Glenn Miller Story,Production,SOUND RECORDING,"Universal-International Studio Sound Department, Leslie I. Carey, Sound Director"
The Godfather,Acting,ACTOR,Marlon Brando
The Godfather,Title,BEST PICTURE,"Albert S. Ruddy, Producer"
The Godfather,Writing,WRITING (Adapted Screenplay),"Mario Puzo, Francis Ford Coppola"
The Godfather Part II,Acting,ACTOR IN A SUPPORTING ROLE,Robert De Niro
The Godfather Part II,Production,ART DIRECTION,"Art Direction: Dean Tavoularis, Angelo Graham; Set Decoration: George R. Nelson"
The Godfather Part II,Directing,DIRECTING,Francis Ford Coppola
The Godfather Part II,Music,MUSIC (Original Score),"Nino Rota, Carmine Coppola"
The Godfather Part II,Title,BEST PICTURE,"Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers"
The Godfather Part II,Writing,WRITING (Adapted Screenplay),"Francis Ford Coppola, Mario Puzo"
The Golden Compass,Production,VISUAL EFFECTS,"Michael Fink, Bill Westenhofer, Ben Morris and Trevor Wood"
The Golden Fish,Title,SHORT FILM (Live Action),"Jacques-Yves Cousteau, Producer"
The Good Earth,Acting,ACTRESS,Luise Rainer
The Good Earth,Production,CINEMATOGRAPHY,Karl Freund
The Goodbye Girl,Acting,ACTOR IN A LEADING ROLE,Richard Dreyfuss
The Graduate,Directing,DIRECTING,Mike Nichols
The Grand Budapest Hotel,Production,COSTUME DESIGN,Milena Canonero
The Grand Budapest Hotel,Production,MAKEUP AND HAIRSTYLING,Frances Hannon and Mark Coulier
The Grand Budapest Hotel,Music,MUSIC (Original Score),Alexandre Desplat
The Grand Budapest Hotel,Production,PRODUCTION DESIGN,Production Design: Adam Stockhausen; Set Decoration: Anna Pinnock
The Grapes of Wrath,Acting,ACTRESS IN A SUPPORTING ROLE,Jane Darwell
The Grapes of Wrath,Directing,DIRECTING,John Ford
The Great American Cowboy,Title,DOCUMENTARY (Feature),"Kieth Merrill, Producer"
The Great Beauty,Title,INTERNATIONAL FEATURE FILM,Italy
The Great Caruso,Production,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
The Great Gatsby,Production,COSTUME DESIGN,Theoni V. Aldredge
The Great Gatsby,Music,MUSIC (Original Song Score or Adaptation Score),Adaptation Score by Nelson Riddle
The Great Gatsby,Production,COSTUME DESIGN,Catherine Martin
The Great Gatsby,Production,PRODUCTION DESIGN,Production Design: Catherine Martin; Set Decoration: Beverley Dunn
The Great Lie,Acting,ACTRESS IN A SUPPORTING ROLE,Mary Astor
The Great McGinty,Writing,WRITING (Original Screenplay),Preston Sturges
The Great Race,Production,SOUND EDITING,Tregoweth Brown
The Great Waltz,Production,CINEMATOGRAPHY,Joseph Ruttenberg
The Great Ziegfeld,Acting,ACTRESS,Luise Rainer
The Great Ziegfeld,Music,DANCE DIRECTION,Seymour Felix
The Great Ziegfeld,Title,BEST PICTURE,Metro-Goldwyn-Mayer
The Greatest Show on Earth,Title,BEST PICTURE,"Cecil B. DeMille, Producer"
The Greatest Show on Earth,Writing,WRITING (Original Story),"Fredric M. Frank, Theodore St. John, Frank Cavett"
The Guns of Navarone,Production,VISUAL EFFECTS,Visual Effects by Bill Warrington; Audible Effects by Vivian C. Greenham
The Harvey Girls,Music,MUSIC (Original Song),Music by Harry Warren; Lyrics by Johnny Mercer
The Hateful Eight,Music,MUSIC (Original Score),Ennio Morricone
The Heiress,Acting,ACTRESS,Olivia de Havilland
The Heiress,Production,ART DIRECTION (Black-and-White),"Art Direction: Harry Horner, John Meehan; Set Decoration: Emile Kuri"
The Heiress,Production,COSTUME DESIGN (Black-and-White),"Edith Head, Gile Steele"
The Heiress,Music,MUSIC (Original Score),Aaron Copland
The Hellstrom Chronicle,Title,DOCUMENTARY (Feature),"Walon Green, Producer"
The Help,Acting,ACTRESS IN A SUPPORTING ROLE,Octavia Spencer
The High and the Mighty,Music,MUSIC (Original Score),Dimitri Tiomkin
The Hindenburg,Special,SPECIAL ACHIEVEMENT AWARD (Sound Effects),Peter Berkos
The Hindenburg,Special,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Albert Whitlock, Glen Robinson"
The Holdovers,Acting,ACTRESS IN A SUPPORTING ROLE,Da'Vine Joy Randolph
The Hole,Title,SHORT FILM (Animated),"John Hubley and Faith Hubley, Producers"
The Horse with the Flying Tail,Title,DOCUMENTARY (Feature),"Larry Lansburgh, Producer"
The Hospital,Writing,WRITING (Original Screenplay),Paddy Chayefsky
The Hours,Acting,ACTRESS IN A LEADING ROLE,Nicole Kidman
The House on 92nd Street,Writing,WRITING (Original Story),Charles G. Booth
The Human Comedy,Writing,WRITING (Original Story),William Saroyan
The Hunt for Red October,Production,SOUND EDITING,"Cecelia Hall, George Watters II"
The Hurricane,Production,SOUND RECORDING,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
The Hurt Locker,Directing,DIRECTING,Kathryn Bigelow
The Hurt Locker,Production,FILM EDITING,Bob Murawski and Chris Innis
The Hurt Locker,Title,BEST PICTURE,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers"
The Hurt Locker,Production,SOUND EDITING,Paul N.J. Ottosson
The Hurt Locker,Production,SOUND MIXING,Paul N.J. Ottosson and Ray Beckett
The Hurt Locker,Writing,WRITING (Original Screenplay),Written by Mark Boal
The Hustler,Production,ART DIRECTION (Black-and-White),Art Direction: Harry Horner; Set Decoration: Gene Callahan
The Hustler,Production,CINEMATOGRAPHY (Black-and-White),Eugen Shuftan
The Imitation Game,Writing,WRITING (Adapted Screenplay),Written by Graham Moore
The Incredibles,Title,ANIMATED FEATURE FILM,Brad Bird
The Incredibles,Production,SOUND EDITING,Michael Silvers and Randy Thom
The Informer,Acting,ACTOR,Victor McLaglen
The Informer,Directing,DIRECTING,John Ford
The Informer,Music,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department (Score by Max Steiner)"
The Informer,Writing,WRITING (Screenplay),Dudley Nichols
The Invaders,Writing,WRITING (Original Story),Emeric Pressburger
The Iron Lady,Acting,ACTRESS IN A LEADING ROLE,Meryl Streep
The Iron Lady,Production,MAKEUP AND HAIRSTYLING,Mark Coulier and J. Roy Helland
The Jazz Singer,Special,SPECIAL AWARD,NA
The Johnstown Flood,Title,DOCUMENTARY (Short Subject),"Charles Guggenheim, Producer"
The Joker Is Wild,Music,MUSIC (Original Song),Music by James Van Heusen; Lyrics by Sammy Cahn
The Jolson Story,Music,MUSIC (Original Song Score or Adaptation Score),Morris Stoloff
The Jolson Story,Production,SOUND RECORDING,"Columbia Studio Sound Department, John Livadary, Sound Director"
The Jungle Book,Production,VISUAL EFFECTS,"Robert Legato, Adam Valdez, Andrew R. Jones and Dan Lemmon"
The Killing Fields,Acting,ACTOR IN A SUPPORTING ROLE,Haing S. Ngor
The Killing Fields,Production,CINEMATOGRAPHY,Chris Menges
The Killing Fields,Production,FILM EDITING,Jim Clark
The King and I,Acting,ACTOR,Yul Brynner
The King and I,Production,ART DIRECTION (Color),"Art Direction: Lyle R. Wheeler, John DeCuir; Set Decoration: Walter M. Scott, Paul S. Fox"
The King and I,Production,COSTUME DESIGN (Color),Irene Sharaff
The King and I,Music,MUSIC (Original Song Score or Adaptation Score),"Alfred Newman, Ken Darby"
The King and I,Production,SOUND RECORDING,"20th Century-Fox Studio Sound Department, Carl Faulkner, Sound Director"
The King's Speech,Acting,ACTOR IN A LEADING ROLE,Colin Firth
The King's Speech,Directing,DIRECTING,Tom Hooper
The King's Speech,Title,BEST PICTURE,"Iain Canning, Emile Sherman and Gareth Unwin, Producers"
The King's Speech,Writing,WRITING (Original Screenplay),Screenplay by David Seidler
The Lady in Number 6: Music Saved My Life,Title,DOCUMENTARY (Short Subject),Malcolm Clarke and Nicholas Reed
The Last Command,Acting,ACTOR,Emil Jannings
The Last Days,Title,DOCUMENTARY (Feature),"James Moll, Ken Lipper"
The Last Emperor,Production,ART DIRECTION,"Art Direction: Ferdinando Scarfiotti; Set Decoration: Bruno Cesari, Osvaldo Desideri"
The Last Emperor,Production,CINEMATOGRAPHY,Vittorio Storaro
The Last Emperor,Production,COSTUME DESIGN,James Acheson
The Last Emperor,Directing,DIRECTING,Bernardo Bertolucci
The Last Emperor,Production,FILM EDITING,Gabriella Cristiani
The Last Emperor,Music,MUSIC (Original Score),"Ryuichi Sakamoto, David Byrne, Cong Su"
The Last Emperor,Title,BEST PICTURE,"Jeremy Thomas, Producer"
The Last Emperor,Production,SOUND,"Bill Rowe, Ivan Sharrock"
The Last Emperor,Writing,WRITING (Adapted Screenplay),"Mark Peploe, Bernardo Bertolucci"
The Last King of Scotland,Acting,ACTOR IN A LEADING ROLE,Forest Whitaker
The Last Picture Show,Acting,ACTOR IN A SUPPORTING ROLE,Ben Johnson
The Last Picture Show,Acting,ACTRESS IN A SUPPORTING ROLE,Cloris Leachman
The Last Repair Shop,Title,DOCUMENTARY (Short Subject),Ben Proudfoot and Kris Bowers
The Last of the Mohicans,Production,SOUND,"Chris Jenkins, Doug Hemphill, Mark Smith, Simon Kaye"
The Lavender Hill Mob,Writing,WRITING (Original Screenplay),T. E. B. Clarke
The Life of Emile Zola,Acting,ACTOR IN A SUPPORTING ROLE,Joseph Schildkraut
The Life of Emile Zola,Title,BEST PICTURE,Warner Bros.
The Life of Emile Zola,Writing,WRITING (Screenplay),"Norman Reilly Raine, Heinz Herald, Geza Herczeg"
The Lion King,Music,MUSIC (Original Score),Hans Zimmer
The Lion King,Music,MUSIC (Original Song),Music by Elton John; Lyric by Tim Rice
The Lion in Winter,Acting,ACTRESS,Katharine Hepburn
The Lion in Winter,Music,MUSIC (Original Score),John Barry
The Lion in Winter,Writing,WRITING (Adapted Screenplay),James Goldman
The Little Mermaid,Music,MUSIC (Original Score),Alan Menken
The Little Mermaid,Music,MUSIC (Original Song),Music by Alan Menken; Lyric by Howard Ashman
The Little Orphan,Title,SHORT FILM (Animated),"Fred Quimby, Producer"
The Lives of Others,Title,INTERNATIONAL FEATURE FILM,Germany
The Lives of a Bengal Lancer,Directing,ASSISTANT DIRECTOR,"Clem Beauchamp, Paul Wing"
The Living Desert,Title,DOCUMENTARY (Feature),"Walt Disney, Producer"
The Long Goodbye,Title,SHORT FILM (Live Action),Aneil Karia and Riz Ahmed
The Long Way Home,Title,DOCUMENTARY (Feature),"Rabbi Marvin Hier, Richard Trank"
The Longest Day,Production,CINEMATOGRAPHY (Black-and-White),"Jean Bourgoin, Walter Wottitz, (Henri Persin)"
The Longest Day,Production,VISUAL EFFECTS,Visual Effects by Robert MacDonald; Audible Effects by Jacques Maumont
The Lord of the Rings: The Fellowship of the Ring,Production,CINEMATOGRAPHY,Andrew Lesnie
The Lord of the Rings: The Fellowship of the Ring,Production,MAKEUP AND HAIRSTYLING,"Peter Owen, Richard Taylor"
The Lord of the Rings: The Fellowship of the Ring,Music,MUSIC (Original Score),Howard Shore
The Lord of the Rings: The Fellowship of the Ring,Production,VISUAL EFFECTS,"Jim Rygiel, Randall William Cook, Richard Taylor, Mark Stetson"
The Lord of the Rings: The Return of the King,Production,ART DIRECTION,Art Direction: Grant Major; Set Decoration: Dan Hennah and Alan Lee
The Lord of the Rings: The Return of the King,Production,COSTUME DESIGN,Ngila Dickson and Richard Taylor
The Lord of the Rings: The Return of the King,Directing,DIRECTING,Peter Jackson
The Lord of the Rings: The Return of the King,Production,FILM EDITING,Jamie Selkirk
The Lord of the Rings: The Return of the King,Production,MAKEUP AND HAIRSTYLING,Richard Taylor and Peter King
The Lord of the Rings: The Return of the King,Music,MUSIC (Original Score),Howard Shore
The Lord of the Rings: The Return of the King,Music,MUSIC (Original Song),Music and Lyric by Fran Walsh and Howard Shore and Annie Lennox
The Lord of the Rings: The Return of the King,Title,BEST PICTURE,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers"
The Lord of the Rings: The Return of the King,Production,SOUND MIXING,"Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek"
The Lord of the Rings: The Return of the King,Production,VISUAL EFFECTS,"Jim Rygiel, Joe Letteri, Randall William Cook and Alex Funke"
The Lord of the Rings: The Return of the King,Writing,WRITING (Adapted Screenplay),"Screenplay by Fran Walsh, Philippa Boyens & Peter Jackson"
The Lord of the Rings: The Two Towers,Production,SOUND EDITING,"Ethan Van der Ryn, Michael Hopkins"
The Lord of the Rings: The Two Towers,Production,VISUAL EFFECTS,"Jim Rygiel, Joe Letteri, Randall William Cook, Alex Funke"
The Lost Thing,Title,SHORT FILM (Animated),Shaun Tan and Andrew Ruhemann
The Lost Weekend,Acting,ACTOR,Ray Milland
The Lost Weekend,Directing,DIRECTING,Billy Wilder
The Lost Weekend,Title,BEST PICTURE,Paramount
The Lost Weekend,Writing,WRITING (Screenplay),"Charles Brackett, Billy Wilder"
The Lunch Date,Title,SHORT FILM (Live Action),Adam Davidson
The Madness of King George,Production,ART DIRECTION,Art Direction: Ken Adam; Set Decoration: Carolyn Scott
The Magic Machines,Title,SHORT FILM (Live Action),"Joan Keller Stern, Producer"
The Man Who Knew Too Much,Music,MUSIC (Original Song),Music and Lyrics by Jay Livingston and Ray Evans
The Man Who Planted Trees,Title,SHORT FILM (Animated),"Frédéric Back, Producer"
The Man Who Skied down Everest,Title,DOCUMENTARY (Feature),"F. R. Crawley, James Hager and Dale Hartleben, Producers"
The March of Time,Special,SPECIAL AWARD,NA
The Matrix,Production,FILM EDITING,Zach Staenberg
The Matrix,Production,SOUND,"John Reitz, Gregg Rudloff, David Campbell, David Lee"
The Matrix,Production,SOUND EDITING,Dane A. Davis
The Matrix,Production,VISUAL EFFECTS,"John Gaeta, Janek Sirrs, Steve Courtley, Jon Thum"
The Merry Widow,Production,ART DIRECTION,"Cedric Gibbons, Fredric Hope"
The Merry Wives of Windsor Overture,Title,SHORT SUBJECT (One-reel),"Johnny Green, Producer"
The Milagro Beanfield War,Music,MUSIC (Original Score),Dave Grusin
The Milky Way,Title,SHORT FILM (Animated),Metro-Goldwyn-Mayer
The Miracle Worker,Acting,ACTRESS,Anne Bancroft
The Miracle Worker,Acting,ACTRESS IN A SUPPORTING ROLE,Patty Duke
The Mission,Production,CINEMATOGRAPHY,Chris Menges
The Moon and the Son: An Imagined Conversation,Title,SHORT FILM (Animated),John Canemaker and Peggy Stern
The More the Merrier,Acting,ACTOR IN A SUPPORTING ROLE,Charles Coburn
The Motorcycle Diaries,Music,MUSIC (Original Song),Music and Lyric by Jorge Drexler
The Muppets,Music,MUSIC (Original Song),Music and Lyric by Bret McKenzie
The Music Box,Title,SHORT SUBJECT (Comedy),"Hal Roach, Producer"
The Naked City,Production,CINEMATOGRAPHY (Black-and-White),William Daniels
The Naked City,Production,FILM EDITING,Paul Weatherwax
The Neighbors' Window,Title,SHORT FILM (Live Action),Marshall Curry
The New Tenants,Title,SHORT FILM (Live Action),Joachim Back and Tivi Magnusson
The Night of the Iguana,Production,COSTUME DESIGN (Black-and-White),Dorothy Jeakins
The Nights of Cabiria,Title,INTERNATIONAL FEATURE FILM,Italy
The Nutty Professor,Production,MAKEUP AND HAIRSTYLING,"Rick Baker, David LeRoy Anderson"
The Official Story,Title,INTERNATIONAL FEATURE FILM,Argentina
The Old Man and the Sea,Music,MUSIC (Original Score),Dimitri Tiomkin
The Old Man and the Sea,Title,SHORT FILM (Animated),Alexander Petrov
The Old Mill,Title,SHORT FILM (Animated),"Walt Disney, Producer"
The Omen,Music,MUSIC (Original Score),Jerry Goldsmith
The Paleface,Music,MUSIC (Original Song),Music and Lyrics by Jay Livingston and Ray Evans
The Panama Deception,Title,DOCUMENTARY (Feature),"Barbara Trent and David Kasper, Producers"
The Paper Chase,Acting,ACTOR IN A SUPPORTING ROLE,John Houseman
The Patriot,Writing,WRITING (Screenplay),Hans Kraly
The Personals: Improvisations on Romance in the Golden Years,Title,DOCUMENTARY (Short Subject),Keiko Ibi
The Philadelphia Story,Acting,ACTOR,James Stewart
The Philadelphia Story,Writing,WRITING (Screenplay),Donald Ogden Stewart
The Phone Call,Title,SHORT FILM (Live Action),Mat Kirkby and James Lucas
The Pianist,Acting,ACTOR IN A LEADING ROLE,Adrien Brody
The Pianist,Directing,DIRECTING,Roman Polanski
The Pianist,Writing,WRITING (Adapted Screenplay),Screenplay by Ronald Harwood
The Piano,Acting,ACTRESS IN A LEADING ROLE,Holly Hunter
The Piano,Acting,ACTRESS IN A SUPPORTING ROLE,Anna Paquin
The Piano,Writing,WRITING (Original Screenplay),Jane Campion
